username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2019-04-29 12:37;2;1;"INSIDER/ Alphabet Inc Brand, @Google Semi #AutonomousCars , #SelfDrivingCars , #DriverlessCars , Spinoff, @Waymo * Upfitting @FiatChrysler_NA , @Chrysler #Automotive #ElectricFueledVehicle : @EPA Rated 84 MPGe #PacificaPHEV + 20K #IPace *Via | Website / Waymo https:// waymo.com pic.twitter.com/sbUEJAphGH";;@Google @Waymo @FiatChrysler_NA @Chrysler @EPA;#AutonomousCars #SelfDrivingCars #DriverlessCars #Automotive #ElectricFueledVehicle #PacificaPHEV #IPace;"1122917824186470400";https://twitter.com/AmazingChevVolt/status/1122917824186470400
;2019-04-29 12:36;0;1;"Uber is not the Amazon of Transportation by @Mike_K_Spencer https:// link.medium.com/V1mUYAjShW #SelfDrivingCars #AutonomousCars #Business #Investing #Startup";;@Mike_K_Spencer;#SelfDrivingCars #AutonomousCars #Business #Investing #Startup;"1122917516580478977";https://twitter.com/DiabeticCyborgg/status/1122917516580478977
;2019-04-29 12:14;7;1;"#Autonomous #Vehicles Company of the day years ago: Amber @Drive_Amber https://www. driveamber.com #AVCotd #SmartCity #AI #IoT #Robotics #tech #5G #driverless #selfdriving #SelfDrivingCars #startup #technology #DriverlessCars #Robots #startups #AutonomousVehicles #transport #robot pic.twitter.com/Jf57p0UwyS";;@Drive_Amber;#Autonomous #Vehicles #AVCotd #SmartCity #AI #IoT #Robotics #tech #5G #driverless #selfdriving #SelfDrivingCars #startup #technology #DriverlessCars #Robots #startups #AutonomousVehicles #transport #robot;"1122912018946826241";https://twitter.com/guidaautonoma/status/1122912018946826241
;2019-04-29 12:12;0;1;"Israel speeds ahead with #selfdrivingcars , testing a large-scale pilot program on designated city streets http://www. israeltoday.co.il/NewsItem/tabid /178/nid/36516/Default.aspx#.XMcwJiu_zjA.twitter …";;;#selfdrivingcars #;"1122911580503576577";https://twitter.com/mighty_ai/status/1122911580503576577
;2019-04-29 12:10;0;1;"South Korea's SK Telecom to develop a 5G-based map for #selfdrivingcars https:// cnb.cx/2UM5DCu #computervision";;;#selfdrivingcars #computervision;"1122911133692846085";https://twitter.com/mighty_ai/status/1122911133692846085
;2019-04-29 11:49;2;0;"Tesla’s autonomy event: Impressive progress with an unrealistic timeline https:// buff.ly/2UZAK2b #cars #digitaltransformation #selfdriving #tesla #AutonomousVehicles #SelfDrivingCars pic.twitter.com/MyToeiYjJS";;;#cars #digitaltransformation #selfdriving #tesla #AutonomousVehicles #SelfDrivingCars;"1122905640974811137";https://twitter.com/CreativeConstr/status/1122905640974811137
;2019-04-29 11:46;2;2;"Pittsburgh is for Innovators- 5 companies are testing 55 self-driving cars in Pittsburgh: @Aptiv @argoai @aurora_inno @CarnegieMellon & @Uber are testing 55 #DriverlessCars in 32 of Pittsburgh’s neighborhoods & suburbs #AutonomousVehicles #SelfDrivingCars https:// venturebeat.com/2019/04/26/5-c ompanies-are-testing-55-self-driving-cars-in-pittsburgh/ … pic.twitter.com/0yUZyDDKpT";;@Aptiv @argoai @aurora_inno @CarnegieMellon @Uber;#DriverlessCars #AutonomousVehicles #SelfDrivingCars;"1122904882891984912";https://twitter.com/IRIweb/status/1122904882891984912
;2019-04-29 11:41;1;4;"Thanks @SecRichards for inspiring conversation. While we discussed #SelfDrivingCars , we also dove into foundations needed to support and pay for future of #transportation , incl #vmt , and leadership, collaboration and diversity. Wide reaching enjoyable discussion! @PennDOTNews https:// twitter.com/MobilityPodcas t/status/1122626143050399751 …";;@SecRichards @PennDOTNews;#SelfDrivingCars #transportation #vmt;"1122903804633128960";https://twitter.com/smartertranspo/status/1122903804633128960
;2019-04-29 11:37;0;0;"Tricking Tesla's Autopilot with stickers on the road: https://www. schneier.com/blog/archives/ 2019/04/adversarial_mac.html … #security #SelfDrivingCars #sensors #sensordata";;;#security #SelfDrivingCars #sensors #sensordata;"1122902736931106816";https://twitter.com/nexusofawesome/status/1122902736931106816
;2019-04-29 11:33;0;1;"5 companies are testing 55 self-driving cars in Pittsburgh https:// buff.ly/2Py2cOw #AI #AVs #SelfDrivingCars pic.twitter.com/8R1CdjHomS";;;#AI #AVs #SelfDrivingCars;"1122901615059656704";https://twitter.com/cognition_x/status/1122901615059656704
;2019-04-29 11:32;34;39;"Which #technology will enable #AutonomousVehicles and #SelfDrivingCars #ConnectedDevices MT @diioannid @pascal_bornet @HeinzVHoenen @c4trends @Fabriziobustama @AcvGateway @archonsec @FrRonconi @mirko_ross @Procurement2030 @SupplyChain2030 pic.twitter.com/7OIJVb5UWN";;@diioannid @pascal_bornet @HeinzVHoenen @c4trends @Fabriziobustama @AcvGateway @archonsec @FrRonconi @mirko_ross @Procurement2030 @SupplyChain2030;#technology #AutonomousVehicles #SelfDrivingCars #ConnectedDevices;"1122901416736063488";https://twitter.com/mvollmer1/status/1122901416736063488
;2019-04-29 11:28;0;0;"Aurora Safety Report: The New Era of Mobility by Aurora Team https:// link.medium.com/optCERfNhW #Autonomousvehicles #selfdrivingcars #AI #automotive #driverless #autonomousdriving #mobility";;;#Autonomousvehicles #selfdrivingcars #AI #automotive #driverless #autonomousdriving #mobility;"1122900446715240448";https://twitter.com/FM_Marcom/status/1122900446715240448
;2019-04-29 11:27;7;2;"How #SelfDriving Tractors And #AI Are Changing #Agriculture https://www. forbes.com/sites/lanaband oim/2019/04/27/how-self-driving-tractors-and-ai-are-changing-agriculture/#157b5c307fa1 … #autonomous #SmartCity #IoT #Robotics #tech #5G #driverless #SelfDrivingCars #startup #technology #DriverlessCars #Robots #startups #AutonomousVehicles #transport #mobility #Travel #delivery pic.twitter.com/7bo0CQAjPB";;;#SelfDriving #AI #Agriculture #157b5c307fa1 #autonomous #SmartCity #IoT #Robotics #tech #5G #driverless #SelfDrivingCars #startup #technology #DriverlessCars #Robots #startups #AutonomousVehicles #transport #mobility #Travel #delivery;"1122900099150110725";https://twitter.com/guidaautonoma/status/1122900099150110725
;2019-04-29 11:05;0;0;"EN #selfdrivingcars South Korea's SK Telecom to develop a 5G-based map for self-driving cars https:// buff.ly/2UQqaWg pic.twitter.com/80rC7MKM4j";;;#selfdrivingcars;"1122894571728404481";https://twitter.com/AAsc49/status/1122894571728404481
;2019-04-29 10:56;0;0;"AI self-driving driverless autonomous cars will be a boon to the AUTO REPAIR business, due to 24x7 usage and other key factors: https://www. forbes.com/sites/lanceeli ot/2019/04/29/rack-em-up-driverless-cars-surprisingly-will-be-a-boon-for-auto-repair-market … @LanceEliot #AITrends #selfdriving #AI #selfdrivingcars #autonomousdriving #autonomousvehicles #techbrium #forbes";;@LanceEliot;#AITrends #selfdriving #AI #selfdrivingcars #autonomousdriving #autonomousvehicles #techbrium #forbes;"1122892508889923585";https://twitter.com/LanceEliot/status/1122892508889923585
;2019-04-29 10:45;2;2;"41% would deploy #IoT devices on a #5G network right now, if they could. https:// connectedworld.com/iot-leaders-we igh-in-on-5g-blockchain-iot-hurdles/ … #5G #M2M #AV #autonomousvehicles #selfdrivingcars #transportation #wirelessconnectivity #automation #AI #machinelearning #bigdata #digitaltransformation #cybersecurity #blockchain pic.twitter.com/zYHAeZM8ia";;;#IoT #5G #5G #M2M #AV #autonomousvehicles #selfdrivingcars #transportation #wirelessconnectivity #automation #AI #machinelearning #bigdata #digitaltransformation #cybersecurity #blockchain;"1122889561946951681";https://twitter.com/ConnectedWMag/status/1122889561946951681
;2019-04-29 10:30;0;0;"Read about the advancing field of AI used by Facebook to optimize content (and how it helps identify human intent): http:// ow.ly/rnjc50pRjKN #Facebook #StupidAI #selfdrivingcars";;;#Facebook #StupidAI #selfdrivingcars;"1122885874394509313";https://twitter.com/weckerson/status/1122885874394509313
